Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
17/11/2021,Nalón CF,SD Solares,1,1,D
17/11/2021,CD Utrillas,CD Injerto,2,0,H
17/11/2021,CD Aldeano,Unami CP,1,3,A
17/11/2021,Victoria CF,CD Hernani,1,0,H
17/11/2021,CF San Agustín,Mora CF,6,2,H
17/11/2021,CFJ Mollerussa,Penya Independent,1,0,H
17/11/2021,CFI Alicante,Ceuta 6 de Junio,7,1,H
17/11/2021,CD Villa de Fortuna,Atlético Espeleño,1,0,H
17/11/2021,Huracán Melilla,Atarfe Industrial CF,2,1,H
17/11/2021,CD Laguna,CF Jaraíz,4,1,H
30/11/2021,CD Cayón,Huesca,0,2,A
30/11/2021,CD Marchamalo,Valladolid,0,1,A
30/11/2021,Náxara CD,Andorra,0,1,A
30/11/2021,Victoria CF,Villarreal,0,8,A
30/11/2021,CD Laguna,Granada,0,7,A
30/11/2021,Unami CP,Alaves,0,3,A
30/11/2021,CD Teruel,Alcorcon,0,1,A
30/11/2021,Unión Club Ceares,Sporting Gijon,0,1,A
30/11/2021,Racing Rioja CF,Cartagena,0,2,A
30/11/2021,Atlético Sanluqueño CF,CE Sabadell,2,0,H
30/11/2021,CFJ Mollerussa,Getafe,1,5,A
30/11/2021,CD Ebro,Celta Vigo,0,5,A
30/11/2021,UD Montijo,Burgos,0,1,A
30/11/2021,Águilas FC,Almeria,1,1,D
30/11/2021,Albacete,Racing Ferrol,2,1,H
30/11/2021,CD Badajoz,CD Alcoyano,0,3,A
01/12/2021,CD Mensajero,Real Zaragoza,0,1,A
01/12/2021,Bergantiños FC,CD Tudelano,2,0,H
01/12/2021,SD Solares,Espanyol,2,3,A
01/12/2021,Cordoba,Sevilla,0,1,A
01/12/2021,Gimnástica Segoviana,Mallorca,0,2,A
01/12/2021,CD Brea,Ibiza,0,2,A
01/12/2021,Algeciras CF,Unionistas CF,1,2,A
01/12/2021,UD Alzira,Fuenlabrada,0,1,A
01/12/2021,CE Andratx,Real Oviedo,2,1,H
01/12/2021,AD San Juan,UD SS Reyes,1,2,A
01/12/2021,Atlético Mancha Real,Inter de Madrid,2,1,H
01/12/2021,UCAM Murcia CF,Deportivo La Coruna,3,4,A
01/12/2021,CF Talavera,UE Cornellà,2,0,H
01/12/2021,CE Europa,Amorebieta,0,1,A
01/12/2021,CP Cacereño,Ponferradina,1,2,A
01/12/2021,CD Arenteiro,SD Logroñés,2,1,H
01/12/2021,CD Calahorra,Atlético Baleares,4,5,A
01/12/2021,Extremadura UD,Zamora CF,1,4,A
01/12/2021,Linares Deportivo,Gimnàstic de Tarragona,0,0,D
01/12/2021,San Fernando CD,CD Leonesa,2,3,A
01/12/2021,CFI Alicante,Real Betis,0,4,A
01/12/2021,CF Panadería Pulido,Real Sociedad,0,4,A
01/12/2021,CD San Roque,Mirandes,0,3,A
02/12/2021,Vélez CF,Las Palmas,2,3,A
02/12/2021,Huracán Melilla,Levante,0,8,A
02/12/2021,CF San Agustín,Osasuna,0,4,A
02/12/2021,CD Guijuelo,Rayo Vallecano,0,0,D
02/12/2021,SD Gernika,Eibar,1,2,A
02/12/2021,CD Utrillas,Valencia,0,3,A
02/12/2021,Peña Sport FC,Malaga,0,3,A
02/12/2021,SD Leioa,Elche,0,2,A
02/12/2021,CS Puertollano CF,Girona,1,5,A
02/12/2021,CD Cristo Atlético,Real Unión,2,0,H
02/12/2021,CA Pulpileño,Castellon,0,1,A
02/12/2021,UD Llanera,UD Logroñés,2,1,H
02/12/2021,Unión Adarve,Lugo,2,2,D
02/12/2021,Eldense,Rayo Majadahonda,0,1,A
02/12/2021,Xerez DFC,Leganes,1,2,A
02/12/2021,CD Villa de Fortuna,Cadiz,0,7,A
02/12/2021,CD Ibiza,Tenerife,1,2,A
14/12/2021,UD SS Reyes,Fuenlabrada,0,0,D
14/12/2021,Rayo Majadahonda,Malaga,1,0,H
14/12/2021,Huesca,Girona,0,1,A
14/12/2021,Real Zaragoza,Burgos,2,0,H
14/12/2021,CD Cristo Atlético,Espanyol,1,2,A
14/12/2021,CD Alcoyano,Levante,3,3,D
14/12/2021,Linares Deportivo,Alaves,2,1,H
14/12/2021,Andorra,Celta Vigo,1,2,A
15/12/2021,Bergantiños FC,Rayo Vallecano,1,3,A
15/12/2021,CE Andratx,Sevilla,1,1,D
15/12/2021,Zamora CF,Real Sociedad,0,3,A
15/12/2021,CD Leonesa,Leganes,2,3,A
15/12/2021,Castellon,Cartagena,1,2,A
15/12/2021,Sporting Gijon,Alcorcon,2,1,H
15/12/2021,Ponferradina,Ibiza,2,1,H
15/12/2021,Valladolid,Las Palmas,3,1,H
15/12/2021,Unionistas CF,Elche,0,1,A
15/12/2021,Atlético Sanluqueño CF,Villarreal,1,7,A
15/12/2021,Tenerife,Eibar,1,2,A
16/12/2021,UD Llanera,Mallorca,0,6,A
16/12/2021,CD Arenteiro,Valencia,1,3,A
16/12/2021,CF Talavera,Real Betis,2,4,A
16/12/2021,Amorebieta,Almeria,1,2,A
16/12/2021,Lugo,Mirandes,1,2,A
16/12/2021,Atlético Mancha Real,Granada,1,0,H
16/12/2021,Albacete,Cadiz,0,1,A
16/12/2021,Atlético Baleares,Getafe,5,0,H
16/12/2021,Deportivo La Coruna,Osasuna,1,2,A
04/01/2022,Ponferradina,Espanyol,1,1,D
05/01/2022,Cartagena,Valencia,1,2,A
05/01/2022,Eibar,Mallorca,1,2,A
05/01/2022,Leganes,Real Sociedad,2,3,A
05/01/2022,Linares Deportivo,Barcelona,1,2,A
05/01/2022,Atlético Baleares,Celta Vigo,2,1,H
05/01/2022,Valladolid,Real Betis,0,3,A
05/01/2022,Mirandes,Rayo Vallecano,0,1,A
05/01/2022,CD Alcoyano,Real Madrid,1,3,A
06/01/2022,Fuenlabrada,Cadiz,0,1,A
06/01/2022,Girona,Osasuna,1,0,H
06/01/2022,Sporting Gijon,Villarreal,2,1,H
06/01/2022,Real Zaragoza,Sevilla,0,2,A
06/01/2022,Atlético Mancha Real,Athletic Bilbao,0,2,A
06/01/2022,Almeria,Elche,1,2,A
06/01/2022,Rayo Majadahonda,Atletico Madrid,0,5,A
15/01/2022,Girona,Rayo Vallecano,1,2,A
15/01/2022,Sporting Gijon,Cadiz,0,0,D
15/01/2022,Mallorca,Espanyol,2,1,H
16/01/2022,Real Betis,Sevilla,2,1,H
16/01/2022,Atlético Baleares,Valencia,0,1,A
19/01/2022,Real Sociedad,Atletico Madrid,2,0,H
20/01/2022,Athletic Bilbao,Barcelona,3,2,H
20/01/2022,Elche,Real Madrid,1,2,A
02/02/2022,Valencia,Cadiz,2,1,H
02/02/2022,Rayo Vallecano,Mallorca,1,0,H
03/02/2022,Real Sociedad,Real Betis,0,4,A
03/02/2022,Athletic Bilbao,Real Madrid,1,0,H
09/02/2022,Rayo Vallecano,Real Betis,1,2,A
10/02/2022,Athletic Bilbao,Valencia,1,1,D
02/03/2022,Valencia,Athletic Bilbao,1,0,H
03/03/2022,Real Betis,Rayo Vallecano,1,1,D
23/04/2022,Real Betis,Valencia,1,1,D
19/10/2022,CD Amigó,CD Fuentes,0,3,A
19/10/2022,Ceuta 6 de Junio,CD l'Alcora,0,3,A
19/10/2022,Velarde CF,Turégano CF,1,0,H
19/10/2022,CD Autol,Dinamo San Juan,1,1,D
19/10/2022,CD Algar,Melilla CD,4,1,H
19/10/2022,CD Santa Amalia,Universitario FC,2,1,H
19/10/2022,UD Barbadás,Atlético de Lugones,2,1,H
19/10/2022,CFJ Mollerussa,CD Cardassar,4,2,H
19/10/2022,Montilla CF,CD Rincón,0,0,D
19/10/2022,CD Cazalegas,CD Los Yébenes-San Bruno,2,1,H
12/11/2022,CD Fuentes,Osasuna,1,4,A
12/11/2022,UD Barbadás,Valladolid,0,2,A
12/11/2022,CD Manacor,Andorra,1,3,A
12/11/2022,CD Guijuelo,Deportivo La Coruna,2,0,H
12/11/2022,Atlético Saguntino,Amorebieta,1,0,H
12/11/2022,CDA Navalcarnero,UD Logroñés,1,3,A
12/11/2022,UE Olot,Levante,0,4,A
12/11/2022,CD Huétor Tájar,Albacete,0,3,A
12/11/2022,CD Guadalajara,Ponferradina,2,1,H
12/11/2022,SD Gernika,Leganes,0,0,D
12/11/2022,Arenas de Getxo,Lugo,1,0,H
12/11/2022,SD Beasain,Sporting Gijon,2,3,A
12/11/2022,Racing Rioja CF,Gimnàstic de Tarragona,0,2,A
12/11/2022,Sestao River,Racing Ferrol,1,0,H
12/11/2022,Utrera CD,Ceuta,0,1,A
12/11/2022,CD l'Alcora,Elche,0,3,A
12/11/2022,CD Autol,Mallorca,0,6,A
12/11/2022,CD Cristo Atlético,Ibiza,0,2,A
12/11/2022,CP Cacereño,Cordoba,3,0,H
12/11/2022,CD Coria,Fuenlabrada,2,0,H
12/11/2022,CD Santa Amalia,Villarreal,0,9,A
12/11/2022,CD Rincón,Espanyol,0,3,A
12/11/2022,SD Almazán,Atletico Madrid,0,2,A
13/11/2022,CFJ Mollerussa,Rayo Vallecano,1,3,A
13/11/2022,Quintanar del Rey,Girona,1,2,A
13/11/2022,CF Vimenor,Mirandes,0,2,A
13/11/2022,CD Lealtad,Tenerife,0,2,A
13/11/2022,Las Rozas CF,Eibar,0,3,A
13/11/2022,Peña Deportiva,Malaga,1,1,D
13/11/2022,CD Alfaro,Cartagena,0,1,A
13/11/2022,Recreativo Huelva,Burgos,0,0,D
13/11/2022,Gimnástica Torrelavega,Real Oviedo,2,3,A
13/11/2022,CD Diocesano,Real Zaragoza,1,0,H
13/11/2022,Juventud Torremolinos,Huesca,2,2,D
13/11/2022,CD Atlético Paso,Real Murcia,1,1,D
13/11/2022,CE Manresa,Pontevedra CF,1,3,A
13/11/2022,CD Arnedo,Atlético Baleares,1,1,D
13/11/2022,Unión Adarve,Linares Deportivo,1,2,A
13/11/2022,CD Ibiza,Rayo Majadahonda,3,1,H
13/11/2022,Hércules CF,CF La Nucía,2,4,A
13/11/2022,Velarde CF,Sevilla,0,2,A
13/11/2022,CD Algar,Celta Vigo,1,6,A
13/11/2022,CA Cirbonero,CF Intercity,0,1,A
13/11/2022,CD Teruel,Las Palmas,0,1,A
13/11/2022,Coruxo FC,Eldense,2,2,D
13/11/2022,AD San Juan,CD Numancia,0,2,A
13/11/2022,Ourense CF,Alcorcon,2,4,A
13/11/2022,Yeclano Deportivo,Granada,2,3,A
13/11/2022,Lleida Esportiu,Alaves,0,1,A
13/11/2022,Utebo FC,Mérida AD,2,2,D
13/11/2022,Real Unión,Cadiz,3,2,H
13/11/2022,CD San Roque,Getafe,2,3,A
13/11/2022,CD Cazalegas,Real Sociedad,1,4,A
13/11/2022,CD Arenteiro,Almeria,2,0,H
13/11/2022,UD Alzira,Athletic Bilbao,0,2,A
20/12/2022,CD Diocesano,Getafe,0,2,A
20/12/2022,CF Intercity,Mirandes,2,0,H
20/12/2022,Real Unión,Mallorca,0,1,A
20/12/2022,Sestao River,Athletic Bilbao,0,1,A
20/12/2022,CD Guijuelo,Villarreal,1,2,A
20/12/2022,Alcorcon,Cartagena,1,1,D
20/12/2022,CD Atlético Paso,Espanyol,0,1,A
20/12/2022,CD Guadalajara,Elche,0,3,A
21/12/2022,Atlético Saguntino,Rayo Vallecano,0,0,D
21/12/2022,CD Ibiza,Eibar,1,0,H
21/12/2022,Mérida AD,Alaves,0,1,A
21/12/2022,CD Numancia,Sporting Gijon,0,3,A
21/12/2022,Levante,Andorra,2,1,H
21/12/2022,Arenas de Getxo,Valladolid,1,5,A
21/12/2022,Juventud Torremolinos,Sevilla,0,3,A
21/12/2022,CD Arnedo,Osasuna,1,3,A
21/12/2022,CD Coria,Real Sociedad,0,5,A
21/12/2022,UD Logroñés,Albacete,0,0,D
21/12/2022,Ceuta,Ibiza,3,2,H
21/12/2022,Pontevedra CF,Tenerife,2,1,H
22/12/2022,CP Cacereño,Girona,2,1,H
22/12/2022,Linares Deportivo,Racing Santander,1,0,H
22/12/2022,Eldense,Burgos,1,0,H
22/12/2022,CD Arenteiro,Atletico Madrid,1,3,A
22/12/2022,Gimnàstic de Tarragona,Malaga,2,1,H
22/12/2022,CF La Nucía,Las Palmas,0,0,D
22/12/2022,Real Oviedo,Granada,1,0,H
22/12/2022,SD Gernika,Celta Vigo,0,3,A
03/01/2023,CF La Nucía,Valencia,0,3,A
03/01/2023,Cartagena,Villarreal,1,5,A
03/01/2023,Espanyol,Celta Vigo,3,1,H
03/01/2023,CP Cacereño,Real Madrid,0,1,A
03/01/2023,Ceuta,Elche,1,0,H
03/01/2023,Levante,Getafe,3,2,H
03/01/2023,Sporting Gijon,Rayo Vallecano,2,0,H
04/01/2023,UD Logroñés,Real Sociedad,0,1,A
04/01/2023,Pontevedra CF,Mallorca,0,2,A
04/01/2023,Linares Deportivo,Sevilla,0,5,A
04/01/2023,Real Oviedo,Atletico Madrid,0,2,A
04/01/2023,CF Intercity,Barcelona,3,4,A
04/01/2023,Alaves,Valladolid,1,0,H
05/01/2023,Gimnàstic de Tarragona,Osasuna,1,2,A
05/01/2023,Eldense,Athletic Bilbao,1,6,A
05/01/2023,CD Ibiza,Real Betis,1,4,A
17/01/2023,Alaves,Sevilla,0,1,A
17/01/2023,Real Sociedad,Mallorca,1,0,H
18/01/2023,Sporting Gijon,Valencia,0,4,A
18/01/2023,Athletic Bilbao,Espanyol,1,0,H
18/01/2023,Levante,Atletico Madrid,0,2,A
18/01/2023,Real Betis,Osasuna,2,2,D
19/01/2023,Villarreal,Real Madrid,2,3,A
19/01/2023,Ceuta,Barcelona,0,5,A
25/01/2023,Osasuna,Sevilla,2,1,H
25/01/2023,Barcelona,Real Sociedad,1,0,H
26/01/2023,Valencia,Athletic Bilbao,1,3,A
26/01/2023,Real Madrid,Atletico Madrid,3,1,H
01/03/2023,Osasuna,Athletic Bilbao,1,0,H
02/03/2023,Real Madrid,Barcelona,0,1,A
04/04/2023,Athletic Bilbao,Osasuna,1,1,D
05/04/2023,Barcelona,Real Madrid,0,4,A
06/05/2023,Real Madrid,Osasuna,2,1,H
11/10/2023,CP Mijas Las Lagunas,Chiclana CF,0,1,A
11/10/2023,Ceuta 6 de Junio,CD Buñol,0,3,A
11/10/2023,CD Pradejón,Atlético de Lugones,1,2,A
12/10/2023,CD Hernán Cortés,CD Sauzal,3,1,H
12/10/2023,Turégano CF,CD Santurtzi,3,1,H
12/10/2023,AD Tardienta,CD Zirauki,2,1,H
12/10/2023,UE Rubí,Rotlet Molinar,0,0,D
12/10/2023,CD Monte,CD Boiro,0,1,A
12/10/2023,Melilla CD,Deportivo Murcia,1,3,A
12/10/2023,CD Quintanar,Unión Zona Norte,1,0,H
31/10/2023,CD Mensajero,Espanyol,0,2,A
31/10/2023,CP Cacereño,Castellon,2,3,A
31/10/2023,CF Talavera,Almeria,0,2,A
31/10/2023,CD Manacor,Las Palmas,0,3,A
31/10/2023,Lorca Deportiva,Eibar,0,4,A
31/10/2023,CD Varea,Levante,0,3,A
01/11/2023,Atlético de Lugones,Rayo Vallecano,0,6,A
01/11/2023,CD San Roque,Girona,1,2,A
01/11/2023,CF Badalona Futur,Cadiz,0,0,D
01/11/2023,CD Azuaga,Cartagena,2,3,A
01/11/2023,Peña Deportiva,Valladolid,1,5,A
01/11/2023,CDA Navalcarnero,Alcorcon,0,1,A
01/11/2023,AD Llerenense,Leganes,0,2,A
01/11/2023,SD Compostela,Tenerife,0,1,A
01/11/2023,Náxara CD,UD Melilla,1,2,A
01/11/2023,UD Barbastro,Ponferradina,1,0,H
01/11/2023,UCAM Murcia CF,Linares Deportivo,0,0,D
01/11/2023,CD Quintanar,Sevilla,0,3,A
01/11/2023,Turégano CF,Celta Vigo,0,4,A
01/11/2023,Atlético Astorga,Andorra,1,0,H
01/11/2023,CD Valle de Egüés,CD Teruel,1,0,H
01/11/2023,CA Antoniano,Lugo,0,1,A
01/11/2023,Real Jaén,Eldense,2,3,A
01/11/2023,Real Avilés,CD Arenteiro,0,1,A
01/11/2023,CD Covadonga,Deportivo La Coruna,1,3,A
01/11/2023,CDE Ursaria,CD Cayón,1,2,A
01/11/2023,CD Guijuelo,Sporting Gijon,0,3,A
01/11/2023,Zamora CF,Racing Santander,2,2,D
01/11/2023,CD Manchego Ciudad Real,Antequera CF,1,3,A
01/11/2023,Arandina CF,Real Murcia,1,0,H
01/11/2023,Terrassa FC,Albacete,1,0,H
01/11/2023,Utebo FC,Mirandes,1,2,A
01/11/2023,CE Europa,Elche,0,2,A
01/11/2023,Barakaldo CF,Malaga,0,0,D
01/11/2023,CD Tudelano,Recreativo Huelva,1,0,H
01/11/2023,SD Gernika,Unionistas CF,0,2,A
01/11/2023,Yeclano Deportivo,Atlético Sanluqueño CF,2,0,H
01/11/2023,Orihuela CF,Gimnàstic de Tarragona,0,0,D
01/11/2023,AD Tardienta,Getafe,0,12,A
01/11/2023,CD Buñol,Real Sociedad,0,1,A
01/11/2023,CD Boiro,Mallorca,0,4,A
01/11/2023,Águilas FC,Huesca,0,1,A
01/11/2023,CE Andratx,SD Tarazona,3,2,H
01/11/2023,CE Manresa,Real Oviedo,1,2,A
01/11/2023,Marbella FC,Racing Ferrol,1,3,A
01/11/2023,CD Hernán Cortés,Real Betis,1,12,A
01/11/2023,UE Rubí,Athletic Bilbao,1,2,A
02/11/2023,Arosa SC,Granada,3,0,H
02/11/2023,UD Logroñés,Valencia,0,2,A
02/11/2023,Hércules CF,Burgos,1,2,A
02/11/2023,CF Villanovense,Ibiza,2,1,H
02/11/2023,Deportivo Murcia,Alaves,0,10,A
02/11/2023,Chiclana CF,Villarreal,0,5,A
08/11/2023,Gimnástica Segoviana,Sestao River,3,4,A
14/11/2023,Atzeneta UE,Real Zaragoza,2,1,H
22/11/2023,Zamora CF,Villarreal,1,2,A
05/12/2023,Arosa SC,Valencia,0,1,A
05/12/2023,Castellon,Real Oviedo,2,1,H
05/12/2023,Espanyol,Valladolid,3,1,H
05/12/2023,Atzeneta UE,Getafe,1,2,A
06/12/2023,UD Barbastro,Almeria,1,0,H
06/12/2023,Yeclano Deportivo,Rayo Vallecano,0,2,A
06/12/2023,Antequera CF,Huesca,0,2,A
06/12/2023,Deportivo La Coruna,Tenerife,2,3,A
06/12/2023,Alcorcon,Cartagena,0,0,D
06/12/2023,Terrassa FC,Alaves,0,1,A
06/12/2023,CE Andratx,Real Sociedad,0,1,A
06/12/2023,CD Arenteiro,Burgos,1,3,A
06/12/2023,Unionistas CF,Sporting Gijon,2,0,H
06/12/2023,Malaga,Eldense,1,0,H
06/12/2023,CF Villanovense,Real Betis,1,2,A
06/12/2023,CD Valle de Egüés,Mallorca,0,3,A
06/12/2023,Lugo,Mirandes,2,0,H
06/12/2023,Levante,Amorebieta,0,1,A
06/12/2023,Atlético Astorga,Sevilla,0,2,A
06/12/2023,CD Tudelano,Las Palmas,1,2,A
07/12/2023,UD Melilla,Eibar,1,1,D
07/12/2023,Linares Deportivo,Elche,1,3,A
07/12/2023,Racing Ferrol,Leganes,1,0,H
07/12/2023,Orihuela CF,Girona,2,5,A
07/12/2023,CD Cayón,Athletic Bilbao,0,3,A
07/12/2023,Sestao River,Celta Vigo,1,2,A
07/12/2023,Arandina CF,Cadiz,2,1,H
06/01/2024,Lugo,Atletico Madrid,1,3,A
06/01/2024,Espanyol,Getafe,0,1,A
06/01/2024,Elche,Girona,0,2,A
06/01/2024,Huesca,Rayo Vallecano,0,2,A
06/01/2024,Alaves,Real Betis,1,0,H
06/01/2024,Arandina CF,Real Madrid,1,3,A
07/01/2024,Burgos,Mallorca,0,3,A
07/01/2024,Amorebieta,Celta Vigo,2,4,A
07/01/2024,Castellon,Osasuna,0,1,A
07/01/2024,Racing Ferrol,Sevilla,1,2,A
07/01/2024,Unionistas CF,Villarreal,1,1,D
07/01/2024,Cartagena,Valencia,1,2,A
07/01/2024,Eibar,Athletic Bilbao,0,3,A
07/01/2024,UD Barbastro,Barcelona,2,3,A
07/01/2024,Malaga,Real Sociedad,0,1,A
07/01/2024,Tenerife,Las Palmas,2,0,H
16/01/2024,Athletic Bilbao,Alaves,2,0,H
16/01/2024,Tenerife,Mallorca,0,1,A
16/01/2024,Getafe,Sevilla,1,3,A
17/01/2024,Valencia,Celta Vigo,1,3,A
17/01/2024,Osasuna,Real Sociedad,0,2,A
17/01/2024,Girona,Rayo Vallecano,3,1,H
18/01/2024,Atletico Madrid,Real Madrid,4,2,H
18/01/2024,Unionistas CF,Barcelona,1,3,A
23/01/2024,Celta Vigo,Real Sociedad,1,2,A
24/01/2024,Athletic Bilbao,Barcelona,4,2,H
24/01/2024,Mallorca,Girona,3,2,H
25/01/2024,Atletico Madrid,Sevilla,1,0,H
06/02/2024,Mallorca,Real Sociedad,0,0,D
07/02/2024,Atletico Madrid,Athletic Bilbao,0,1,A
27/02/2024,Real Sociedad,Mallorca,1,1,D
29/02/2024,Athletic Bilbao,Atletico Madrid,3,0,H
06/04/2024,Athletic Bilbao,Mallorca,1,1,D
09/10/2024,San Tirso SD,Selaya FC,1,1,D
09/10/2024,CD Sonseca,Parla Escuela,0,1,A
09/10/2024,Astur CF,DUX Logroño,2,0,H
09/10/2024,CD Baztán,Ontiñena CF,1,1,D
09/10/2024,UD San Pedro,Ceuta 6 de Junio,4,2,H
09/10/2024,CD Villamuriel,CD Aurrerá de Vitoria,1,0,H
09/10/2024,EF Dolorense,Manises CF,1,3,A
09/10/2024,UE Vic,CF Sporting Mahonés,4,0,H
09/10/2024,CD Gévora,Playas de Sotavento,1,1,D
09/10/2024,Chiclana CF,Melilla CD,4,0,H
29/10/2024,CD Villamuriel,Rayo Vallecano,0,5,A
29/10/2024,SD Compostela,Alaves,0,1,A
29/10/2024,CD Guijuelo,Ourense CF,1,2,A
29/10/2024,Astur CF,Valladolid,1,4,A
29/10/2024,UD Poblense,Villarreal,1,6,A
29/10/2024,Real Jaén,Cadiz,0,3,A
29/10/2024,CE L'Hospitalet,Real Zaragoza,1,5,A
29/10/2024,UD Lanzarote,Racing Santander,3,4,A
30/10/2024,CE Europa,Albacete,2,1,H
30/10/2024,Las Rozas CF,Sevilla,0,3,A
30/10/2024,Ciudad de Lucena,Leganes,1,2,A
30/10/2024,UE Olot,Cordoba,1,1,D
30/10/2024,CD Ibiza,Gimnàstic de Tarragona,1,2,A
30/10/2024,SD Beasain,Cartagena,0,1,A
30/10/2024,CD Móstoles URJC,Burgos,2,5,A
30/10/2024,Bergantiños FC,Marbella FC,1,2,A
30/10/2024,UP Langreo,Orihuela CF,1,2,A
30/10/2024,CD Cortes,Granada,0,2,A
30/10/2024,UE Sant Andreu,Mirandes,2,1,H
30/10/2024,CF Badalona Futur,Huesca,0,2,A
30/10/2024,UD Logroñés,Eibar,1,0,H
30/10/2024,CD Numancia,Sporting Gijon,0,1,A
30/10/2024,Utebo FC,Unionistas CF,0,4,A
30/10/2024,CD Laredo,Yeclano Deportivo,0,6,A
30/10/2024,Juventud Torremolinos,Zamora CF,1,2,A
30/10/2024,UM Escobedo,Ponferradina,0,0,D
30/10/2024,Lleida Esportiu,Barakaldo CF,1,3,A
30/10/2024,Salamanca CF UDS,Alcorcon,1,0,H
30/10/2024,CD Coria,Elche,0,3,A
30/10/2024,CP Cacereño,Gimnástica Segoviana,2,1,H
30/10/2024,UB Conquense,Ibiza,1,0,H
30/10/2024,UD San Pedro,Celta Vigo,1,5,A
30/10/2024,CD Extremadura,Girona,0,4,A
30/10/2024,UD SS Reyes,Almeria,1,2,A
30/10/2024,Águilas FC,Castellon,0,1,A
30/10/2024,CD Atlético Paso,Eldense,0,1,A
31/10/2024,UE Vic,Atletico Madrid,0,2,A
31/10/2024,San Tirso SD,Espanyol,0,4,A
31/10/2024,UD Barbastro,Amorebieta,4,0,H
31/10/2024,Real Ávila CF,Real Oviedo,0,0,D
31/10/2024,CD Tudelano,Deportiva Minera,0,5,A
31/10/2024,Don Benito,Andorra,1,2,A
31/10/2024,CD Gévora,Real Betis,1,6,A
31/10/2024,Ontiñena CF,Las Palmas,0,7,A
31/10/2024,CD Cuarte,Racing Ferrol,1,3,A
31/10/2024,CD Estepona,Malaga,3,2,H
31/10/2024,CD Alfaro,Tenerife,0,2,A
31/10/2024,UD Llanera,Cultural Leonesa,0,2,A
05/11/2024,Chiclana CF,Osasuna,0,5,A
06/11/2024,Xerez CD,Ceuta,0,1,A
14/11/2024,SD Ejea,Hércules CF,1,0,H
19/11/2024,Pontevedra CF,Levante,4,1,H
21/11/2024,Jove Español,Real Sociedad,0,5,A
26/11/2024,Parla Escuela,Valencia,0,1,A
26/11/2024,Manises CF,Getafe,0,3,A
03/12/2024,Real Ávila CF,Valladolid,2,4,A
03/12/2024,Yeclano Deportivo,Elche,0,1,A
03/12/2024,Salamanca CF UDS,Celta Vigo,0,7,A
