Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
07/08/2021,Como,Catanzaro,2,2,D
08/08/2021,Perugia,Sudtirol,1,0,H
08/08/2021,Padova,Alessandria,0,2,A
08/08/2021,Ternana,Avellino,1,1,D
13/08/2021,Genoa,Perugia,3,2,H
13/08/2021,Udinese,Ascoli,3,1,H
13/08/2021,Fiorentina,Cosenza,4,0,H
13/08/2021,Pordenone,Spezia,1,3,A
14/08/2021,Benevento,SPAL,2,1,H
14/08/2021,Cittadella,Monza,2,1,H
14/08/2021,Hellas Verona,Catanzaro,3,0,H
14/08/2021,Cagliari,Pisa,3,1,H
15/08/2021,Parma,Lecce,1,3,A
15/08/2021,Venezia,Frosinone,1,1,D
15/08/2021,Torino,Cremonese,0,0,D
15/08/2021,Empoli,Vicenza,4,2,H
16/08/2021,Bologna,Ternana,4,5,A
16/08/2021,Salernitana,Reggina,2,0,H
16/08/2021,Sampdoria,Alessandria,3,2,H
16/08/2021,Crotone,Brescia,2,2,D
14/12/2021,Venezia,Ternana,3,1,H
14/12/2021,Udinese,Crotone,4,0,H
14/12/2021,Genoa,Salernitana,1,0,H
15/12/2021,Cagliari,Cittadella,3,1,H
15/12/2021,Fiorentina,Benevento,2,1,H
15/12/2021,Hellas Verona,Empoli,3,4,A
16/12/2021,Sampdoria,Torino,2,1,H
16/12/2021,Spezia,Lecce,0,2,A
12/01/2022,Atalanta,Venezia,2,0,H
13/01/2022,AC Milan,Genoa,3,1,H
13/01/2022,Napoli,Fiorentina,2,5,A
18/01/2022,Juventus,Sampdoria,4,1,H
18/01/2022,Lazio,Udinese,1,0,H
19/01/2022,Sassuolo,Cagliari,1,0,H
19/01/2022,Inter,Empoli,3,2,H
20/01/2022,AS Roma,Lecce,3,1,H
08/02/2022,Inter,AS Roma,2,0,H
09/02/2022,AC Milan,Lazio,4,0,H
10/02/2022,Juventus,Sassuolo,2,1,H
10/02/2022,Atalanta,Fiorentina,2,3,A
01/03/2022,AC Milan,Inter,0,0,D
02/03/2022,Fiorentina,Juventus,0,1,A
19/04/2022,Inter,AC Milan,3,0,H
20/04/2022,Juventus,Fiorentina,2,0,H
11/05/2022,Juventus,Inter,2,4,A
30/07/2022,Sudtirol,Feralpisalo,1,3,A
31/07/2022,Bari,Padova,3,0,H
31/07/2022,Palermo,Reggiana,3,2,H
31/07/2022,Modena,Catanzaro,3,1,H
05/08/2022,Udinese,Feralpisalo,2,1,H
05/08/2022,Lecce,Cittadella,2,3,A
05/08/2022,Sampdoria,Reggina,1,0,H
05/08/2022,Cagliari,Perugia,3,2,H
06/08/2022,Pisa,Brescia,1,4,A
06/08/2022,Spezia,Como,5,1,H
06/08/2022,Empoli,SPAL,1,2,A
06/08/2022,Torino,Palermo,3,0,H
07/08/2022,Hellas Verona,Bari,1,4,A
07/08/2022,Salernitana,Parma,0,2,A
07/08/2022,Monza,Frosinone,3,2,H
07/08/2022,Venezia,Ascoli,2,3,A
08/08/2022,Genoa,Benevento,3,2,H
08/08/2022,Modena,Sassuolo,3,2,H
08/08/2022,Cremonese,Ternana,3,2,H
08/08/2022,Bologna,Cosenza,1,0,H
18/10/2022,Torino,Cittadella,4,0,H
18/10/2022,Genoa,SPAL,1,0,H
19/10/2022,Spezia,Brescia,3,1,H
19/10/2022,Parma,Bari,1,0,H
19/10/2022,Udinese,Monza,2,3,A
20/10/2022,Sampdoria,Ascoli,2,2,D
20/10/2022,Bologna,Cagliari,1,0,H
20/10/2022,Cremonese,Modena,4,2,H
10/01/2023,Inter,Parma,2,1,H
11/01/2023,AC Milan,Torino,0,1,A
12/01/2023,AS Roma,Genoa,1,0,H
12/01/2023,Fiorentina,Sampdoria,1,0,H
17/01/2023,Napoli,Cremonese,2,2,D
19/01/2023,Atalanta,Spezia,5,2,H
19/01/2023,Lazio,Bologna,1,0,H
19/01/2023,Juventus,Monza,2,1,H
31/01/2023,Inter,Atalanta,1,0,H
01/02/2023,AS Roma,Cremonese,1,2,A
01/02/2023,Fiorentina,Torino,2,1,H
02/02/2023,Juventus,Lazio,1,0,H
04/04/2023,Juventus,Inter,1,1,D
05/04/2023,Cremonese,Fiorentina,0,2,A
26/04/2023,Inter,Juventus,1,0,H
27/04/2023,Fiorentina,Cremonese,0,0,D
24/05/2023,Fiorentina,Inter,1,2,A
05/08/2023,Catanzaro,Foggia Calcio,1,0,H
06/08/2023,Feralpisalo,Vicenza,2,1,H
06/08/2023,Cesena,Virtus Entella,2,2,D
06/08/2023,Reggiana,Pescara,6,2,H
11/08/2023,Udinese,Catanzaro,4,1,H
11/08/2023,Genoa,Modena,4,3,H
11/08/2023,Bologna,Cesena,2,0,H
11/08/2023,Frosinone,Pisa,1,0,H
12/08/2023,Empoli,Cittadella,1,2,A
12/08/2023,Bari,Parma,0,3,A
12/08/2023,Hellas Verona,Ascoli,3,1,H
12/08/2023,Cagliari,Palermo,2,1,H
13/08/2023,Sassuolo,Cosenza,5,2,H
13/08/2023,Lecce,Como,1,0,H
13/08/2023,Monza,Reggiana,1,2,A
13/08/2023,Salernitana,Ternana,1,0,H
14/08/2023,Sampdoria,Sudtirol,1,1,D
14/08/2023,Spezia,Venezia,2,2,D
14/08/2023,Torino,Feralpisalo,2,1,H
14/08/2023,Cremonese,Crotone,3,1,H
31/10/2023,Cremonese,Cittadella,2,1,H
31/10/2023,Salernitana,Sampdoria,4,0,H
31/10/2023,Bologna,Hellas Verona,2,0,H
01/11/2023,Lecce,Parma,2,4,A
01/11/2023,Udinese,Cagliari,1,2,A
01/11/2023,Genoa,Reggiana,2,1,H
02/11/2023,Torino,Frosinone,1,2,A
02/11/2023,Sassuolo,Spezia,0,0,D
05/12/2023,Lazio,Genoa,1,0,H
06/12/2023,Fiorentina,Parma,2,2,D
19/12/2023,Napoli,Frosinone,0,4,A
20/12/2023,Inter,Bologna,1,2,A
02/01/2024,AC Milan,Cagliari,4,1,H
03/01/2024,Atalanta,Sassuolo,3,1,H
03/01/2024,AS Roma,Cremonese,2,1,H
04/01/2024,Juventus,Salernitana,6,1,H
09/01/2024,Fiorentina,Bologna,0,0,D
10/01/2024,AC Milan,Atalanta,1,2,A
10/01/2024,Lazio,AS Roma,1,0,H
11/01/2024,Juventus,Frosinone,4,0,H
02/04/2024,Juventus,Lazio,2,0,H
03/04/2024,Fiorentina,Atalanta,1,0,H
23/04/2024,Lazio,Juventus,2,1,H
24/04/2024,Atalanta,Fiorentina,4,1,H
15/05/2024,Atalanta,Juventus,0,1,A
03/08/2024,Carrarese,Calcio Catania,2,1,H
03/08/2024,SEF Torres 1903,Mantova,1,2,A
04/08/2024,Cesena,Padova,3,1,H
04/08/2024,Avellino,Juve Stabia,3,1,H
09/08/2024,Sassuolo,Cittadella,2,1,H
09/08/2024,Udinese,Avellino,4,0,H
09/08/2024,Genoa,Reggiana,1,0,H
09/08/2024,Monza,Sudtirol,0,0,D
10/08/2024,Cremonese,Bari,1,1,D
10/08/2024,Hellas Verona,Cesena,1,2,A
10/08/2024,Empoli,Catanzaro,4,1,H
10/08/2024,Napoli,Modena,0,0,D
11/08/2024,Brescia,Venezia,3,1,H
11/08/2024,Parma,Palermo,0,1,A
11/08/2024,Sampdoria,Como,1,1,D
11/08/2024,Torino,Cosenza,2,0,H
12/08/2024,Frosinone,Pisa,0,3,A
12/08/2024,Lecce,Mantova,2,1,H
12/08/2024,Salernitana,Spezia,3,3,D
12/08/2024,Cagliari,Carrarese,3,1,H
24/09/2024,Lecce,Sassuolo,0,2,A
24/09/2024,Cagliari,Cremonese,1,0,H
24/09/2024,Torino,Empoli,1,2,A
25/09/2024,Pisa,Cesena,0,1,A
25/09/2024,Udinese,Salernitana,3,1,H
25/09/2024,Genoa,Sampdoria,1,1,D
26/09/2024,Monza,Brescia,3,1,H
26/09/2024,Napoli,Palermo,5,0,H
03/12/2024,Bologna,Monza,4,0,H
03/12/2024,AC Milan,Sassuolo,6,1,H
04/12/2024,Fiorentina,Empoli,2,2,D
05/12/2024,Lazio,Napoli,3,1,H
17/12/2024,Juventus,Cagliari,4,0,H
18/12/2024,Atalanta,Cesena,6,1,H
18/12/2024,AS Roma,Sampdoria,4,1,H
19/12/2024,Inter,Udinese,2,0,H
04/02/2025,Atalanta,Bologna,0,1,A
05/02/2025,AC Milan,AS Roma,3,1,H
25/02/2025,Inter,Lazio,2,0,H
26/02/2025,Juventus,Empoli,1,1,D
01/04/2025,Empoli,Bologna,0,3,A
02/04/2025,AC Milan,Inter,1,1,D
23/04/2025,Inter,AC Milan,0,3,A
24/04/2025,Bologna,Empoli,2,1,H
14/05/2025,AC Milan,Bologna,0,1,A
