Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
10/11/2024,Jeunesse Evolution,CS Moulien,0,0,D
15/11/2024,Vendée Les Herbiers,Ajaccio,2,1,H
15/11/2024,Paris FC,Quevilly-Rouen,1,1,D
15/11/2024,Angoulême CFC,Rodez,2,1,H
16/11/2024,FCSR Obernai,Metz,0,3,A
16/11/2024,C'Chartres Football,Caen,0,4,A
16/11/2024,Aviron Bayonnais,Pau,1,3,A
16/11/2024,FC Freyming,Bastia,0,4,A
16/11/2024,Houilles AC,Boulogne,0,3,A
16/11/2024,US Crépy-en-Valois,Diables Noirs,0,0,D
16/11/2024,USC Corte,ESA Linas-Montlhéry,1,1,D
16/11/2024,AS Ginglin Cesson,US Alençon,2,0,H
16/11/2024,CS Feytiat,Clermont,0,3,A
16/11/2024,FC Chaumont,GOAL FC,2,3,A
16/11/2024,CG Haubourdin,Red Star,1,7,A
16/11/2024,US Raon-l'Etape,ASC Biesheim,1,1,D
16/11/2024,Ruffiac Malestroit Foot,Lorient,0,2,A
16/11/2024,RC Saint-Joseph,AS Samaritaine,2,1,H
16/11/2024,FC PRJ,SA Mérignac,0,6,A
16/11/2024,St-Pierre de Milizac,Dinan Léhon,1,1,D
16/11/2024,US Sarre-Union,ES Thaon,0,2,A
16/11/2024,Vannes OC,Le Mans,1,2,A
16/11/2024,Saint-Colomban Locminé,Sablé FC,4,2,H
16/11/2024,Olympique Saumur,Concarneau,0,2,A
16/11/2024,RCO Agde,SO Romorantin,1,1,D
16/11/2024,FC Grandvillars,Dijon,2,4,A
16/11/2024,ESB Marboz,Cluses-Scionzier FC,0,1,A
16/11/2024,US Nousseviller,SR Colmar,0,3,A
16/11/2024,FC Istres,Cannet Rocheville,4,0,H
16/11/2024,SAS Épinal,Nancy,2,4,A
16/11/2024,JA Drancy,Pays de Cassel,2,1,H
16/11/2024,Gallia Lucciana,Olympique Charleville Prix AM,2,1,H
16/11/2024,Stade Béthunois,Dunkerque,0,0,D
16/11/2024,Arras Football,Valenciennes,0,2,A
16/11/2024,AS Beauvais,US Chantilly,1,0,H
16/11/2024,FC Fleury 91,Amiens,1,1,D
16/11/2024,AS Vitré,Laval,0,0,D
16/11/2024,FC Saint-Lô Manche,SU Dives Cabourg,1,1,D
16/11/2024,US Philibertine,Thouars Foot 79,3,0,H
16/11/2024,Vendée Fontenay,ESOF La Roche,1,2,A
16/11/2024,US Colomiers,Vierzon FC,2,2,D
16/11/2024,FC Espaly,Biars-Bretenoux,1,0,H
16/11/2024,Canet Roussillon,FC Versailles,1,3,A
16/11/2024,Olympique Alès,Stade Beaucairois,4,2,H
16/11/2024,ASJR Football,FC Bourgoin-Jallieu,0,4,A
16/11/2024,GFA Rumilly Vallières,Jura Dolois,1,0,H
16/11/2024,FC Foron,Troyes,1,3,A
16/11/2024,AS Guereins,UF Mâconnais,0,4,A
16/11/2024,FC Gueugnon,Sochaux,1,3,A
16/11/2024,FC Vesoul,Annecy,1,6,A
16/11/2024,OC Cesson-Sévigné,TA Rennes,2,2,D
16/11/2024,US Montagnarde,Tours FC,1,1,D
16/11/2024,CS Blénod et Pont-á-Mousson,FCSR Haguenau,0,1,A
16/11/2024,CA Boulay,US Thionville-Lusitanos,0,3,A
16/11/2024,FC Serquigny-Nassandres,Guingamp,0,5,A
16/11/2024,Grenoble,FC Villefranche Beaujolais,1,1,D
16/11/2024,Calais Beau Marais,AC Paris 15,3,1,H
16/11/2024,Niort,US Orléans,0,3,A
16/11/2024,Cazaux Olympique,La Roche VF,0,6,A
16/11/2024,FC Comtal,Le Puy Foot 43,0,2,A
16/11/2024,ES Grau-du-Roi,AS Cannes,0,2,A
16/11/2024,Valence FC,Marignane Gignac,1,0,H
17/11/2024,AS Dragon,US Avranches,2,2,D
17/11/2024,JS Saint-Pierroise,Saint-Denis FC,1,4,A
17/11/2024,FC Hettange Grande,Luneville,3,3,D
17/11/2024,Association Still-Mutzig,FA Illkirch Graffenstaden,1,0,H
17/11/2024,RC Labourse,FC 93 Bobigny,0,4,A
17/11/2024,FC Raismes,Entente Feignies Aulnoye,0,5,A
17/11/2024,Etoile Club Anstaing Chéreng,FCM Aubervilliers,0,4,A
17/11/2024,RC Roubaix,SFC Neuilly-sur-Marne,4,5,A
17/11/2024,Liancourt Clermont,CS Brétigny,0,0,D
17/11/2024,CO Les Ulis,RC Calais,1,3,A
17/11/2024,Le Touquet-Paris-Plage AC,FC Porto Portugais d'Amiens,1,1,D
17/11/2024,FC Fief-Gesté,US Monnaie,1,3,A
17/11/2024,MOS Caen,US Bolbec,1,2,A
17/11/2024,COBSP Football,US Saint-Malo,1,2,A
17/11/2024,ES Beaumont Saint-Cyr,FCE Mérignac Arlac,1,0,H
17/11/2024,Étoile Maritime,USSA Vertou,0,3,A
17/11/2024,Avenir Mourenxois,FC Marmande 47,0,3,A
17/11/2024,US Couzeix-Chaptelat,Sauveteurs Brivois,1,0,H
17/11/2024,AS Montferrand,L'Union Saint-Jean FC,0,4,A
17/11/2024,Olympique de Valence,AC Arles-Avignon,1,0,H
17/11/2024,Lempdes SF,Carnoux FC,0,1,A
17/11/2024,SC Anduzien,Hauts Lyonnais,1,3,A
17/11/2024,Chambéry SF,FC Saint-Cyr Collonges,2,1,H
17/11/2024,FC Valdahon Vercel,Jura Sud,0,4,A
17/11/2024,Stade Paimpolais,Stade Briochin,0,3,A
17/11/2024,US Pays Saint-Omer,US Noyelles-sous-Lens,1,1,D
17/11/2024,FC Bressuire,Bordeaux,0,2,A
17/11/2024,FC Allobroges Asafia,Martigues,0,5,A
23/11/2024,Aigles d'Or de Mana,Étoile de Matoury,3,2,H
20/11/2024,USC Corte,Diables Noirs,2,0,H
29/11/2024,Stade Briochin,US Saint-Malo,0,0,D
29/11/2024,US Orléans,La Roche VF,1,1,D
29/11/2024,Bastia,Nancy,2,0,H
29/11/2024,US Raon-l'Etape,Metz,0,1,A
29/11/2024,Calais Beau Marais,Amiens,0,3,A
29/11/2024,Chambéry SF,Dijon,0,2,A
30/11/2024,US Monnaie,Lorient,0,5,A
30/11/2024,Caen,US Bolbec,6,0,H
30/11/2024,Association Still-Mutzig,Jeunesse Evolution,4,1,H
30/11/2024,Laval,Concarneau,2,2,D
30/11/2024,Angoulême CFC,Clermont,1,2,A
30/11/2024,FC 93 Bobigny,Red Star,2,2,D
30/11/2024,FCM Aubervilliers,Dunkerque,0,2,A
30/11/2024,US Philibertine,Pau,1,1,D
30/11/2024,Liancourt Clermont,Quevilly-Rouen,0,1,A
30/11/2024,Étoile de Matoury,US Thionville-Lusitanos,0,2,A
30/11/2024,Valenciennes,SFC Neuilly-sur-Marne,4,3,H
30/11/2024,Jura Sud,Annecy,0,0,D
30/11/2024,SR Colmar,FCSR Haguenau,1,1,D
30/11/2024,RCO Agde,Le Puy Foot 43,1,5,A
30/11/2024,FC Istres,Grenoble,0,4,A
30/11/2024,GFA Rumilly Vallières,GOAL FC,1,1,D
30/11/2024,Cluses-Scionzier FC,Troyes,0,1,A
30/11/2024,Le Touquet-Paris-Plage AC,RC Calais,0,1,A
30/11/2024,Le Mans,Saint-Colomban Locminé,4,0,H
30/11/2024,Tours FC,OC Cesson-Sévigné,3,0,H
30/11/2024,Dinan Léhon,Guingamp,1,4,A
30/11/2024,SA Mérignac,ES Beaumont Saint-Cyr,1,1,D
30/11/2024,ESOF La Roche,RC Saint-Joseph,1,3,A
30/11/2024,L'Union Saint-Jean FC,FC Versailles,2,1,H
30/11/2024,Olympique Alès,AS Cannes,1,5,A
30/11/2024,Valence FC,Martigues,0,2,A
30/11/2024,FC Bourgoin-Jallieu,Olympique de Valence,3,0,H
30/11/2024,Carnoux FC,Hauts Lyonnais,0,1,A
30/11/2024,UF Mâconnais,Sochaux,0,2,A
30/11/2024,AS Ginglin Cesson,FC Rouen 1899,0,3,A
30/11/2024,SU Dives Cabourg,AS Dragon,6,1,H
30/11/2024,FC Marmande 47,Vierzon FC,3,0,H
01/12/2024,Entente Feignies Aulnoye,Gallia Lucciana,1,0,H
01/12/2024,US Couzeix-Chaptelat,FC Espaly,0,3,A
01/12/2024,Boulogne,AS Beauvais,4,2,H
01/12/2024,US Noyelles-sous-Lens,JA Drancy,0,3,A
01/12/2024,Luneville,ES Thaon,0,4,A
01/12/2024,Saint-Denis FC,USSA Vertou,0,0,D
01/12/2024,Bordeaux,Vendée Les Herbiers,2,0,H
20/12/2024,FC Espaly,Dijon,1,1,D
20/12/2024,GOAL FC,Annecy,1,2,A
20/12/2024,Troyes,Metz,3,0,H
20/12/2024,FCSR Haguenau,Boulogne,4,1,H
20/12/2024,Bastia,RC Saint-Joseph,5,0,H
20/12/2024,SA Mérignac,Laval,0,0,D
20/12/2024,FC Rouen 1899,Lille,0,1,A
21/12/2024,Tours FC,Lorient,0,3,A
21/12/2024,AS Cannes,Grenoble,3,2,H
21/12/2024,FC Bourgoin-Jallieu,Martigues,4,1,H
21/12/2024,Hauts Lyonnais,Toulouse,0,0,D
21/12/2024,SU Dives Cabourg,Saint-Denis FC,2,0,H
21/12/2024,Stade Briochin,Le Havre,1,0,H
21/12/2024,La Roche VF,Brest,0,1,A
21/12/2024,USC Corte,Nice,1,1,D
21/12/2024,Le Puy Foot 43,Montpellier,4,0,H
21/12/2024,ES Thaon,Amiens,2,1,H
21/12/2024,JA Drancy,Nantes,0,4,A
21/12/2024,Entente Feignies Aulnoye,Lyon,1,2,A
21/12/2024,RC Calais,Strasbourg,0,3,A
22/12/2024,L'Union Saint-Jean FC,Monaco,1,4,A
22/12/2024,Saint-Etienne,Marseille,0,4,A
22/12/2024,Association Still-Mutzig,Reims,1,3,A
22/12/2024,Auxerre,Dunkerque,0,1,A
22/12/2024,Bordeaux,Rennes,1,4,A
22/12/2024,Sochaux,Clermont,0,0,D
22/12/2024,US Thionville-Lusitanos,Valenciennes,2,2,D
22/12/2024,FC 93 Bobigny,Angers,0,1,A
22/12/2024,US Philibertine,Quevilly-Rouen,0,2,A
22/12/2024,FC Marmande 47,Le Mans,0,7,A
22/12/2024,Guingamp,Caen,2,1,H
22/12/2024,Lens,PSG,1,1,D
14/01/2025,Bastia,Nice,0,1,A
14/01/2025,SU Dives Cabourg,Le Puy Foot 43,1,0,H
14/01/2025,Le Mans,Valenciennes,1,1,D
14/01/2025,Guingamp,Sochaux,2,2,D
14/01/2025,Reims,Monaco,1,1,D
14/01/2025,Marseille,Lille,1,1,D
15/01/2025,FC Bourgoin-Jallieu,Lyon,2,2,D
15/01/2025,Toulouse,Laval,2,1,H
15/01/2025,Quevilly-Rouen,Angers,2,3,A
15/01/2025,Troyes,Rennes,1,0,H
15/01/2025,Stade Briochin,Annecy,1,1,D
15/01/2025,AS Cannes,Lorient,2,1,H
15/01/2025,Brest,Nantes,2,1,H
15/01/2025,ES Thaon,Strasbourg,2,2,D
15/01/2025,FC Espaly,PSG,2,4,A
22/01/2025,FCSR Haguenau,Dunkerque,1,3,A
04/02/2025,Troyes,Brest,1,2,A
04/02/2025,Lille,Dunkerque,1,1,D
04/02/2025,Le Mans,PSG,0,2,A
05/02/2025,Stade Briochin,Nice,2,1,H
05/02/2025,Toulouse,Guingamp,0,2,A
05/02/2025,AS Cannes,SU Dives Cabourg,5,3,H
05/02/2025,Strasbourg,Angers,1,3,A
06/02/2025,FC Bourgoin-Jallieu,Reims,0,0,D
25/02/2025,AS Cannes,Guingamp,3,1,H
25/02/2025,Angers,Reims,1,1,D
26/02/2025,Brest,Dunkerque,2,3,A
26/02/2025,Stade Briochin,PSG,0,7,A
01/04/2025,Dunkerque,PSG,2,4,A
02/04/2025,AS Cannes,Reims,1,2,A
24/05/2025,PSG,Reims,3,0,H
