Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
21/08/2015,Malaga,Sevilla,0,0,D
22/08/2015,Espanyol,Getafe,1,0,H
22/08/2015,Deportivo La Coruna,Real Sociedad,0,0,D
22/08/2015,Atletico Madrid,Las Palmas,1,0,H
22/08/2015,Rayo Vallecano,Valencia,0,0,D
23/08/2015,Athletic Bilbao,Barcelona,0,1,A
23/08/2015,Sporting Gijon,Real Madrid,0,0,D
23/08/2015,Levante,Celta Vigo,1,2,A
23/08/2015,Real Betis,Villarreal,1,1,D
24/08/2015,Granada,Eibar,1,3,A
28/08/2015,Villarreal,Espanyol,3,1,H
29/08/2015,Real Sociedad,Sporting Gijon,0,0,D
29/08/2015,Barcelona,Malaga,1,0,H
29/08/2015,Celta Vigo,Rayo Vallecano,3,0,H
29/08/2015,Real Madrid,Real Betis,5,0,H
30/08/2015,Eibar,Athletic Bilbao,2,0,H
30/08/2015,Sevilla,Atletico Madrid,0,3,A
30/08/2015,Valencia,Deportivo La Coruna,1,1,D
30/08/2015,Las Palmas,Levante,0,0,D
30/08/2015,Getafe,Granada,1,2,A
11/09/2015,Levante,Sevilla,1,1,D
12/09/2015,Espanyol,Real Madrid,0,6,A
12/09/2015,Sporting Gijon,Valencia,0,1,A
12/09/2015,Atletico Madrid,Barcelona,1,2,A
12/09/2015,Real Betis,Real Sociedad,1,0,H
13/09/2015,Granada,Villarreal,1,3,A
13/09/2015,Athletic Bilbao,Getafe,3,1,H
13/09/2015,Celta Vigo,Las Palmas,3,3,D
13/09/2015,Malaga,Eibar,0,0,D
14/09/2015,Rayo Vallecano,Deportivo La Coruna,1,3,A
18/09/2015,Getafe,Malaga,1,0,H
19/09/2015,Real Madrid,Granada,1,0,H
19/09/2015,Valencia,Real Betis,0,0,D
19/09/2015,Eibar,Atletico Madrid,0,2,A
19/09/2015,Real Sociedad,Espanyol,2,3,A
20/09/2015,Sevilla,Celta Vigo,1,2,A
20/09/2015,Deportivo La Coruna,Sporting Gijon,2,3,A
20/09/2015,Villarreal,Athletic Bilbao,3,1,H
20/09/2015,Las Palmas,Rayo Vallecano,0,1,A
20/09/2015,Barcelona,Levante,4,1,H
22/09/2015,Atletico Madrid,Getafe,2,0,H
22/09/2015,Espanyol,Valencia,1,0,H
22/09/2015,Granada,Real Sociedad,0,3,A
23/09/2015,Celta Vigo,Barcelona,4,1,H
23/09/2015,Levante,Eibar,2,2,D
23/09/2015,Rayo Vallecano,Sporting Gijon,2,1,H
23/09/2015,Athletic Bilbao,Real Madrid,1,2,A
23/09/2015,Las Palmas,Sevilla,2,0,H
23/09/2015,Malaga,Villarreal,0,1,A
24/09/2015,Real Betis,Deportivo La Coruna,1,2,A
25/09/2015,Valencia,Granada,1,0,H
26/09/2015,Barcelona,Las Palmas,2,1,H
26/09/2015,Real Madrid,Malaga,0,0,D
26/09/2015,Sevilla,Rayo Vallecano,3,2,H
26/09/2015,Villarreal,Atletico Madrid,1,0,H
26/09/2015,Eibar,Celta Vigo,1,1,D
27/09/2015,Sporting Gijon,Real Betis,1,2,A
27/09/2015,Deportivo La Coruna,Espanyol,3,0,H
27/09/2015,Getafe,Levante,3,0,H
27/09/2015,Real Sociedad,Athletic Bilbao,0,0,D
02/10/2015,Celta Vigo,Getafe,0,0,D
03/10/2015,Sevilla,Barcelona,2,1,H
03/10/2015,Granada,Deportivo La Coruna,1,1,D
03/10/2015,Espanyol,Sporting Gijon,1,2,A
03/10/2015,Las Palmas,Eibar,0,2,A
03/10/2015,Malaga,Real Sociedad,3,1,H
