Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
07/08/2015,Lille,PSG,0,1,A
08/08/2015,Nantes,Guingamp,1,0,H
08/08/2015,Troyes,Gazelec Ajaccio,0,0,D
08/08/2015,Montpellier,Angers,0,2,A
08/08/2015,Nice,Monaco,1,2,A
08/08/2015,Marseille,Caen,0,1,A
08/08/2015,Bastia,Rennes,2,1,H
09/08/2015,Bordeaux,Reims,1,2,A
09/08/2015,Toulouse,Saint-Etienne,2,1,H
09/08/2015,Lyon,Lorient,0,0,D
14/08/2015,Monaco,Lille,0,0,D
15/08/2015,Saint-Etienne,Bordeaux,1,1,D
15/08/2015,Angers,Nantes,0,0,D
15/08/2015,Guingamp,Lyon,0,1,A
15/08/2015,Troyes,Nice,3,3,D
15/08/2015,Caen,Toulouse,1,0,H
15/08/2015,Rennes,Montpellier,1,0,H
16/08/2015,Reims,Marseille,1,0,H
16/08/2015,Lorient,Bastia,1,1,D
16/08/2015,PSG,Gazelec Ajaccio,2,0,H
21/08/2015,Montpellier,PSG,0,1,A
22/08/2015,Lyon,Rennes,1,2,A
22/08/2015,Nantes,Reims,1,0,H
22/08/2015,Gazelec Ajaccio,Angers,0,2,A
22/08/2015,Nice,Caen,2,1,H
22/08/2015,Bastia,Guingamp,3,0,H
22/08/2015,Toulouse,Monaco,1,1,D
23/08/2015,Lille,Bordeaux,0,0,D
23/08/2015,Lorient,Saint-Etienne,0,1,A
23/08/2015,Marseille,Troyes,6,0,H
28/08/2015,Guingamp,Marseille,2,0,H
29/08/2015,Caen,Lyon,0,4,A
29/08/2015,Angers,Nice,1,1,D
29/08/2015,Troyes,Montpellier,0,0,D
29/08/2015,Lille,Gazelec Ajaccio,1,0,H
29/08/2015,Reims,Lorient,4,1,H
29/08/2015,Rennes,Toulouse,3,1,H
30/08/2015,Saint-Etienne,Bastia,2,1,H
30/08/2015,Bordeaux,Nantes,2,0,H
30/08/2015,Monaco,PSG,0,3,A
11/09/2015,PSG,Bordeaux,2,2,D
12/09/2015,Lyon,Lille,0,0,D
12/09/2015,Troyes,Caen,1,3,A
12/09/2015,Lorient,Angers,3,1,H
12/09/2015,Montpellier,Saint-Etienne,1,2,A
12/09/2015,Nice,Guingamp,0,1,A
12/09/2015,Toulouse,Reims,2,2,D
13/09/2015,Gazelec Ajaccio,Monaco,0,1,A
13/09/2015,Nantes,Rennes,0,2,A
13/09/2015,Marseille,Bastia,4,1,H
18/09/2015,Rennes,Lille,1,1,D
19/09/2015,Reims,PSG,1,1,D
19/09/2015,Angers,Troyes,1,0,H
19/09/2015,Guingamp,Gazelec Ajaccio,2,1,H
19/09/2015,Bastia,Nice,1,3,A
19/09/2015,Caen,Montpellier,2,1,H
20/09/2015,Bordeaux,Toulouse,1,1,D
20/09/2015,Monaco,Lorient,2,3,A
20/09/2015,Saint-Etienne,Nantes,2,0,H
20/09/2015,Marseille,Lyon,1,1,D
22/09/2015,Angers,Reims,0,0,D
22/09/2015,PSG,Guingamp,3,0,H
23/09/2015,Troyes,Saint-Etienne,0,1,A
23/09/2015,Lorient,Caen,2,0,H
23/09/2015,Gazelec Ajaccio,Rennes,1,1,D
23/09/2015,Nice,Bordeaux,6,1,H
23/09/2015,Lyon,Bastia,2,0,H
23/09/2015,Toulouse,Marseille,1,1,D
24/09/2015,Montpellier,Monaco,2,3,A
29/09/2015,Lille,Nantes,0,1,A
25/09/2015,Reims,Lille,1,0,H
26/09/2015,Nantes,PSG,1,4,A
26/09/2015,Bordeaux,Lyon,3,1,H
26/09/2015,Bastia,Toulouse,3,0,H
