Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
24/07/2021,15:00,Bastia,Nimes,1,1,D
24/07/2021,19:00,Le Havre,Guingamp,0,0,D
24/07/2021,,Pau,Nancy,2,1,H
24/07/2021,,Toulouse,Ajaccio,2,2,D
24/07/2021,,Valenciennes,Niort,0,0,D
24/07/2021,,Grenoble,Paris FC,0,4,A
24/07/2021,,Amiens,Auxerre,1,2,A
24/07/2021,,Caen,Rodez,4,0,H
24/07/2021,,Dunkerque,Quevilly-Rouen,1,1,D
26/07/2021,20:45,Dijon,Sochaux,1,3,A
31/07/2021,15:00,Nimes,Dijon,2,1,H
31/07/2021,19:00,Ajaccio,Amiens,3,1,H
31/07/2021,,Nancy,Toulouse,0,4,A
31/07/2021,,Guingamp,Valenciennes,1,1,D
31/07/2021,,Niort,Caen,0,1,A
31/07/2021,,Paris FC,Dunkerque,2,1,H
31/07/2021,,Sochaux,Le Havre,0,2,A
31/07/2021,,Rodez,Pau,1,0,H
02/08/2021,20:45,Auxerre,Grenoble,3,0,H
18/08/2021,19:00,Quevilly-Rouen,Bastia,1,2,A
07/08/2021,15:00,Caen,Sochaux,1,2,A
07/08/2021,19:00,Le Havre,Paris FC,1,2,A
07/08/2021,,Auxerre,Ajaccio,0,0,D
07/08/2021,,Dijon,Rodez,1,1,D
07/08/2021,,Pau,Toulouse,0,1,A
07/08/2021,,Valenciennes,Nimes,0,3,A
07/08/2021,,Grenoble,Guingamp,0,0,D
07/08/2021,,Amiens,Quevilly-Rouen,1,3,A
07/08/2021,,Dunkerque,Niort,1,2,A
11/08/2021,19:00,Bastia,Nancy,1,1,D
14/08/2021,15:00,Toulouse,Bastia,1,0,H
14/08/2021,19:00,Nancy,Valenciennes,0,1,A
14/08/2021,,Guingamp,Amiens,0,2,A
14/08/2021,,Niort,Grenoble,1,0,H
14/08/2021,,Sochaux,Dunkerque,1,0,H
14/08/2021,,Nimes,Pau,0,0,D
14/08/2021,,Rodez,Le Havre,0,0,D
14/08/2021,,Quevilly-Rouen,Dijon,2,1,H
16/08/2021,20:45,Paris FC,Auxerre,1,1,D
25/08/2021,19:00,Ajaccio,Caen,2,0,H
21/08/2021,15:00,Dijon,Toulouse,2,4,A
21/08/2021,19:00,Le Havre,Niort,2,1,H
21/08/2021,,Pau,Bastia,2,0,H
21/08/2021,,Valenciennes,Rodez,1,4,A
21/08/2021,,Grenoble,Quevilly-Rouen,2,0,H
21/08/2021,,Amiens,Sochaux,0,0,D
21/08/2021,,Caen,Nancy,1,0,H
21/08/2021,,Dunkerque,Nimes,0,2,A
23/08/2021,20:45,Auxerre,Guingamp,1,2,A
14/09/2021,19:00,Ajaccio,Paris FC,1,0,H
28/08/2021,15:00,Toulouse,Valenciennes,1,0,H
28/08/2021,,Nimes,Caen,0,0,D
28/08/2021,19:00,Nancy,Auxerre,1,4,A
28/08/2021,,Guingamp,Ajaccio,1,1,D
28/08/2021,,Niort,Amiens,0,0,D
28/08/2021,,Pau,Dijon,2,0,H
28/08/2021,,Sochaux,Grenoble,1,0,H
28/08/2021,,Rodez,Dunkerque,2,2,D
28/08/2021,,Bastia,Le Havre,0,0,D
28/08/2021,,Quevilly-Rouen,Paris FC,0,1,A
11/09/2021,15:00,Paris FC,Guingamp,0,1,A
11/09/2021,19:00,Ajaccio,Sochaux,1,0,H
11/09/2021,,Auxerre,Niort,4,0,H
11/09/2021,,Dijon,Bastia,2,1,H
11/09/2021,,Valenciennes,Quevilly-Rouen,1,2,A
11/09/2021,,Grenoble,Nimes,2,1,H
11/09/2021,,Amiens,Rodez,0,1,A
11/09/2021,,Caen,Pau,1,2,A
11/09/2021,,Dunkerque,Nancy,0,0,D
13/09/2021,20:45,Le Havre,Toulouse,1,1,D
18/09/2021,15:00,Sochaux,Paris FC,2,0,H
18/09/2021,,Toulouse,Grenoble,4,1,H
18/09/2021,19:00,Nancy,Le Havre,1,1,D
18/09/2021,,Dijon,Dunkerque,2,0,H
18/09/2021,,Niort,Guingamp,2,0,H
18/09/2021,,Pau,Valenciennes,1,1,D
18/09/2021,,Nimes,Amiens,3,3,D
18/09/2021,,Rodez,Ajaccio,0,2,A
18/09/2021,,Bastia,Caen,1,1,D
18/09/2021,,Quevilly-Rouen,Auxerre,0,0,D
21/09/2021,20:00,Ajaccio,Niort,0,0,D
21/09/2021,,Le Havre,Quevilly-Rouen,1,0,H
21/09/2021,,Auxerre,Rodez,1,0,H
21/09/2021,,Guingamp,Sochaux,1,2,A
21/09/2021,,Paris FC,Nimes,2,0,H
21/09/2021,,Valenciennes,Bastia,2,1,H
21/09/2021,,Grenoble,Nancy,4,1,H
21/09/2021,,Amiens,Pau,2,2,D
21/09/2021,,Caen,Dijon,0,1,A
21/09/2021,,Dunkerque,Toulouse,0,2,A
24/09/2021,21:00,Nancy,Amiens,1,1,D
24/09/2021,,Dijon,Valenciennes,0,1,A
24/09/2021,,Niort,Paris FC,4,1,H
24/09/2021,,Pau,Dunkerque,1,2,A
24/09/2021,,Sochaux,Auxerre,0,0,D
24/09/2021,,Nimes,Le Havre,0,1,A
24/09/2021,,Rodez,Grenoble,1,1,D
24/09/2021,,Quevilly-Rouen,Guingamp,2,2,D
25/09/2021,15:00,Bastia,Ajaccio,2,0,H
27/09/2021,20:45,Toulouse,Caen,2,3,A
02/10/2021,15:00,Auxerre,Nimes,2,2,D
02/10/2021,,Amiens,Toulouse,0,0,D
02/10/2021,19:00,Ajaccio,Quevilly-Rouen,0,1,A
02/10/2021,,Le Havre,Dijon,2,0,H
02/10/2021,,Guingamp,Rodez,2,1,H
02/10/2021,,Paris FC,Nancy,1,1,D
02/10/2021,,Sochaux,Niort,1,0,H
02/10/2021,,Grenoble,Pau,2,0,H
02/10/2021,,Caen,Valenciennes,1,2,A
02/10/2021,,Dunkerque,Bastia,2,0,H
16/10/2021,15:00,Toulouse,Auxerre,6,0,H
16/10/2021,19:00,Nancy,Guingamp,2,1,H
16/10/2021,,Dijon,Amiens,1,0,H
16/10/2021,,Pau,Paris FC,1,0,H
16/10/2021,,Valenciennes,Dunkerque,1,3,A
16/10/2021,,Rodez,Sochaux,0,1,A
16/10/2021,,Bastia,Grenoble,0,0,D
16/10/2021,,Caen,Le Havre,2,2,D
16/10/2021,,Quevilly-Rouen,Niort,0,3,A
18/10/2021,20:45,Nimes,Ajaccio,0,2,A
23/10/2021,15:00,Paris FC,Toulouse,2,2,D
23/10/2021,19:00,Ajaccio,Nancy,2,0,H
23/10/2021,,Le Havre,Pau,1,0,H
23/10/2021,,Guingamp,Nimes,3,1,H
23/10/2021,,Niort,Rodez,0,2,A
23/10/2021,,Sochaux,Quevilly-Rouen,1,1,D
23/10/2021,,Grenoble,Dijon,1,2,A
23/10/2021,,Amiens,Valenciennes,3,0,H
23/10/2021,,Dunkerque,Caen,1,1,D
25/10/2021,20:45,Auxerre,Bastia,1,0,H
30/10/2021,15:00,Toulouse,Guingamp,2,2,D
30/10/2021,19:00,Nancy,Sochaux,0,0,D
30/10/2021,,Dijon,Paris FC,0,1,A
30/10/2021,,Pau,Ajaccio,1,0,H
30/10/2021,,Nimes,Niort,1,2,A
30/10/2021,,Rodez,Quevilly-Rouen,3,0,H
30/10/2021,,Bastia,Amiens,0,0,D
30/10/2021,,Caen,Grenoble,0,1,A
30/10/2021,,Dunkerque,Le Havre,1,0,H
01/11/2021,20:45,Valenciennes,Auxerre,1,2,A
06/11/2021,15:00,Auxerre,Pau,4,1,H
06/11/2021,,Sochaux,Nimes,0,1,A
06/11/2021,19:00,Ajaccio,Dijon,1,0,H
06/11/2021,,Le Havre,Valenciennes,0,0,D
06/11/2021,,Guingamp,Bastia,2,3,A
06/11/2021,,Niort,Nancy,1,3,A
06/11/2021,,Paris FC,Rodez,1,0,H
06/11/2021,,Grenoble,Dunkerque,1,0,H
06/11/2021,,Amiens,Caen,0,0,D
06/11/2021,,Quevilly-Rouen,Toulouse,0,0,D
20/11/2021,15:00,Toulouse,Sochaux,4,1,H
20/11/2021,19:00,Le Havre,Amiens,1,1,D
20/11/2021,,Nancy,Rodez,0,2,A
20/11/2021,,Pau,Guingamp,2,0,H
20/11/2021,,Valenciennes,Grenoble,1,0,H
20/11/2021,,Nimes,Quevilly-Rouen,2,1,H
20/11/2021,,Bastia,Niort,2,0,H
20/11/2021,,Caen,Paris FC,0,1,A
20/11/2021,,Dunkerque,Ajaccio,0,1,A
22/11/2021,20:45,Dijon,Auxerre,3,1,H
03/12/2021,21:00,Ajaccio,Valenciennes,0,0,D
03/12/2021,,Guingamp,Dijon,3,2,H
03/12/2021,,Paris FC,Bastia,1,0,H
03/12/2021,,Sochaux,Pau,2,1,H
03/12/2021,,Grenoble,Le Havre,1,2,A
03/12/2021,,Rodez,Nimes,1,0,H
03/12/2021,,Amiens,Dunkerque,3,0,H
03/12/2021,,Quevilly-Rouen,Nancy,2,1,H
04/12/2021,15:00,Auxerre,Caen,2,2,D
06/12/2021,20:45,Niort,Toulouse,2,1,H
11/12/2021,15:00,Le Havre,Ajaccio,0,1,A
11/12/2021,19:00,Dijon,Niort,2,2,D
11/12/2021,,Pau,Quevilly-Rouen,1,2,A
11/12/2021,,Valenciennes,Paris FC,1,4,A
11/12/2021,,Nimes,Nancy,2,1,H
11/12/2021,,Amiens,Grenoble,4,1,H
11/12/2021,,Bastia,Sochaux,2,2,D
11/12/2021,,Caen,Guingamp,2,0,H
11/12/2021,,Dunkerque,Auxerre,0,2,A
13/12/2021,20:45,Toulouse,Rodez,1,1,D
21/12/2021,20:45,Ajaccio,Grenoble,1,0,H
21/12/2021,,Auxerre,Le Havre,2,3,A
21/12/2021,,Nancy,Dijon,0,3,A
21/12/2021,,Guingamp,Dunkerque,2,1,H
21/12/2021,,Niort,Pau,3,0,H
21/12/2021,,Paris FC,Amiens,1,0,H
21/12/2021,,Sochaux,Valenciennes,1,1,D
21/12/2021,,Nimes,Toulouse,1,2,A
21/12/2021,,Rodez,Bastia,0,0,D
21/12/2021,,Quevilly-Rouen,Caen,2,2,D
08/01/2022,15:00,Le Havre,Sochaux,0,1,A
08/01/2022,19:00,Dijon,Nimes,1,2,A
08/01/2022,,Pau,Rodez,4,0,H
08/01/2022,,Valenciennes,Guingamp,1,1,D
08/01/2022,,Grenoble,Auxerre,0,1,A
08/01/2022,,Bastia,Quevilly-Rouen,3,0,H
