Date,Time,HomeTeam,AwayTeam
05/11/2025,19:00,Real Sociedad B,Huesca
07/11/2025,19:30,Mirandes,Sporting Gijon
08/11/2025,13:00,Real Sociedad B,Leganes
08/11/2025,15:15,Eibar,Albacete
08/11/2025,,Huesca,Andorra
08/11/2025,17:30,Deportivo La Coruna,Cultural Leonesa
08/11/2025,20:00,Malaga,Cordoba
09/11/2025,13:00,Las Palmas,Racing Santander
09/11/2025,15:15,Ceuta,Almeria
09/11/2025,17:30,Granada,Real Zaragoza
09/11/2025,20:00,Cadiz,Valladolid
10/11/2025,19:30,Burgos,Castellon
14/11/2025,19:30,Valladolid,Las Palmas
15/11/2025,15:00,Albacete,Andorra
15/11/2025,,Castellon,Real Sociedad B
15/11/2025,20:00,Racing Santander,Granada
16/11/2025,13:00,Ceuta,Leganes
16/11/2025,15:15,Almeria,Cadiz
16/11/2025,,Sporting Gijon,Eibar
16/11/2025,17:30,Cordoba,Deportivo La Coruna
16/11/2025,,Mirandes,Burgos
16/11/2025,20:00,Real Zaragoza,Huesca
17/11/2025,19:30,Cultural Leonesa,Malaga
21/11/2025,19:30,Las Palmas,Albacete
22/11/2025,15:15,Andorra,Castellon
22/11/2025,17:30,Eibar,Real Zaragoza
22/11/2025,,Leganes,Almeria
22/11/2025,20:00,Granada,Cordoba
23/11/2025,13:00,Deportivo La Coruna,Ceuta
23/11/2025,15:15,Cadiz,Cultural Leonesa
23/11/2025,,Huesca,Sporting Gijon
23/11/2025,17:30,Burgos,Racing Santander
23/11/2025,20:00,Malaga,Mirandes
24/11/2025,19:30,Real Sociedad B,Valladolid
28/11/2025,19:30,Sporting Gijon,Andorra
29/11/2025,13:00,Ceuta,Burgos
29/11/2025,15:15,Cultural Leonesa,Granada
29/11/2025,17:30,Albacete,Deportivo La Coruna
29/11/2025,,Almeria,Huesca
29/11/2025,20:00,Valladolid,Malaga
30/11/2025,13:00,Real Zaragoza,Leganes
30/11/2025,15:15,Racing Santander,Eibar
30/11/2025,17:30,Cordoba,Cadiz
30/11/2025,20:00,Castellon,Las Palmas
01/12/2025,19:30,Mirandes,Real Sociedad B
05/12/2025,19:30,Burgos,Albacete
06/12/2025,13:00,Andorra,Almeria
06/12/2025,15:15,Huesca,Valladolid
06/12/2025,17:30,Real Sociedad B,Sporting Gijon
07/12/2025,13:00,Cadiz,Racing Santander
07/12/2025,15:15,Leganes,Cordoba
07/12/2025,17:30,Eibar,Cultural Leonesa
07/12/2025,,Deportivo La Coruna,Castellon
07/12/2025,20:00,Granada,Ceuta
08/12/2025,17:30,Las Palmas,Mirandes
08/12/2025,19:30,Malaga,Real Zaragoza
14/12/2025,,Albacete,Malaga
14/12/2025,,Castellon,Mirandes
14/12/2025,,Ceuta,Las Palmas
14/12/2025,,Cordoba,Eibar
14/12/2025,,Deportivo La Coruna,Real Sociedad B
14/12/2025,,Almeria,Burgos
14/12/2025,,Real Zaragoza,Cadiz
14/12/2025,,Sporting Gijon,Granada
14/12/2025,,Cultural Leonesa,Huesca
14/12/2025,,Racing Santander,Leganes
14/12/2025,,Valladolid,Andorra
21/12/2025,,Burgos,Real Zaragoza
21/12/2025,,Cadiz,Castellon
21/12/2025,,Eibar,Valladolid
21/12/2025,,Huesca,Racing Santander
21/12/2025,,Leganes,Sporting Gijon
21/12/2025,,Andorra,Deportivo La Coruna
21/12/2025,,Granada,Albacete
21/12/2025,,Real Sociedad B,Ceuta
21/12/2025,,Mirandes,Cordoba
21/12/2025,,Las Palmas,Cultural Leonesa
21/12/2025,,Malaga,Almeria
04/01/2026,,Albacete,Leganes
04/01/2026,,Castellon,Huesca
04/01/2026,,Eibar,Mirandes
04/01/2026,,Cultural Leonesa,Real Sociedad B
04/01/2026,,Almeria,Granada
04/01/2026,,Cordoba,Burgos
04/01/2026,,Deportivo La Coruna,Cadiz
04/01/2026,,Real Zaragoza,Las Palmas
04/01/2026,,Sporting Gijon,Malaga
04/01/2026,,Valladolid,Racing Santander
04/01/2026,,Ceuta,Andorra
11/01/2026,,Burgos,Eibar
11/01/2026,,Cadiz,Sporting Gijon
11/01/2026,,Leganes,Valladolid
11/01/2026,,Racing Santander,Real Zaragoza
11/01/2026,,Andorra,Cultural Leonesa
11/01/2026,,Real Sociedad B,Albacete
11/01/2026,,Granada,Castellon
11/01/2026,,Malaga,Ceuta
11/01/2026,,Huesca,Cordoba
11/01/2026,,Las Palmas,Deportivo La Coruna
11/01/2026,,Mirandes,Almeria
18/01/2026,,Albacete,Cadiz
18/01/2026,,Burgos,Huesca
18/01/2026,,Castellon,Leganes
18/01/2026,,Ceuta,Valladolid
18/01/2026,,Cordoba,Malaga
18/01/2026,,Cultural Leonesa,Sporting Gijon
18/01/2026,,Almeria,Deportivo La Coruna
18/01/2026,,Granada,Eibar
18/01/2026,,Racing Santander,Las Palmas
18/01/2026,,Mirandes,Andorra
18/01/2026,,Real Zaragoza,Real Sociedad B
25/01/2026,,Cadiz,Granada
25/01/2026,,Ceuta,Cultural Leonesa
25/01/2026,,Deportivo La Coruna,Racing Santander
25/01/2026,,Leganes,Real Sociedad B
25/01/2026,,Andorra,Huesca
25/01/2026,,Valladolid,Albacete
25/01/2026,,Malaga,Burgos
25/01/2026,,Real Zaragoza,Castellon
25/01/2026,,Las Palmas,Cordoba
25/01/2026,,Eibar,Almeria
25/01/2026,,Sporting Gijon,Mirandes
01/02/2026,,Albacete,Real Zaragoza
01/02/2026,,Burgos,Leganes
01/02/2026,,Cordoba,Valladolid
01/02/2026,,Eibar,Sporting Gijon
01/02/2026,,Granada,Racing Santander
01/02/2026,,Almeria,Ceuta
01/02/2026,,Huesca,Cadiz
01/02/2026,,Cultural Leonesa,Deportivo La Coruna
01/02/2026,,Real Sociedad B,Las Palmas
01/02/2026,,Mirandes,Malaga
01/02/2026,,Castellon,Andorra
08/02/2026,,Ceuta,Cordoba
08/02/2026,,Andorra,Real Sociedad B
