Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
13/08/2021,22:00,Real Zaragoza,Ibiza,0,0,D
13/08/2021,20:00,Huesca,Eibar,2,0,H
14/08/2021,19:30,Girona,Amorebieta,2,0,H
14/08/2021,22:00,Ponferradina,Alcorcon,1,0,H
14/08/2021,17:00,Real Sociedad B,Leganes,1,0,H
15/08/2021,17:00,Sporting Gijon,Burgos,1,0,H
15/08/2021,19:30,Real Oviedo,Lugo,2,2,D
15/08/2021,22:00,Fuenlabrada,Tenerife,1,2,A
15/08/2021,,Las Palmas,Valladolid,1,1,D
16/08/2021,22:00,Cartagena,Almeria,1,3,A
16/08/2021,20:00,Malaga,Mirandes,0,0,D
20/08/2021,22:00,Almeria,Real Oviedo,2,1,H
20/08/2021,20:00,Valladolid,Real Zaragoza,2,0,H
21/08/2021,17:00,Lugo,Real Sociedad B,0,0,D
21/08/2021,19:30,Tenerife,Sporting Gijon,0,0,D
21/08/2021,22:00,Alcorcon,Fuenlabrada,0,2,A
22/08/2021,19:30,Girona,Las Palmas,0,0,D
22/08/2021,,Eibar,Ponferradina,0,1,A
22/08/2021,22:00,Huesca,Cartagena,2,0,H
22/08/2021,17:00,Ibiza,Malaga,2,2,D
23/08/2021,22:00,Leganes,Burgos,0,0,D
23/08/2021,20:00,Mirandes,Amorebieta,2,0,H
27/08/2021,20:00,Las Palmas,Huesca,2,1,H
27/08/2021,22:00,Malaga,Alcorcon,1,0,H
28/08/2021,19:30,Leganes,Ibiza,1,2,A
28/08/2021,,Real Oviedo,Tenerife,0,0,D
28/08/2021,22:00,Ponferradina,Girona,2,1,H
28/08/2021,17:00,Sporting Gijon,Mirandes,2,1,H
29/08/2021,17:00,Amorebieta,Almeria,2,1,H
29/08/2021,19:30,Lugo,Valladolid,0,2,A
29/08/2021,,Real Sociedad B,Fuenlabrada,0,0,D
29/08/2021,22:00,Burgos,Eibar,0,1,A
30/08/2021,22:00,Real Zaragoza,Cartagena,0,1,A
03/09/2021,21:00,Girona,Sporting Gijon,1,2,A
04/09/2021,16:00,Eibar,Leganes,1,1,D
04/09/2021,18:15,Tenerife,Ponferradina,2,0,H
04/09/2021,,Cartagena,Real Sociedad B,1,0,H
04/09/2021,21:00,Fuenlabrada,Lugo,1,1,D
04/09/2021,,Almeria,Malaga,2,0,H
05/09/2021,16:00,Ibiza,Amorebieta,1,1,D
05/09/2021,18:15,Alcorcon,Real Zaragoza,1,2,A
05/09/2021,,Mirandes,Las Palmas,4,2,H
05/09/2021,16:00,Burgos,Valladolid,3,0,H
06/09/2021,21:00,Huesca,Real Oviedo,1,2,A
10/09/2021,21:00,Sporting Gijon,Leganes,2,1,H
11/09/2021,16:00,Real Sociedad B,Eibar,2,3,A
11/09/2021,18:15,Las Palmas,Ibiza,1,1,D
11/09/2021,21:00,Mirandes,Alcorcon,1,3,A
11/09/2021,16:00,Amorebieta,Burgos,2,2,D
12/09/2021,14:00,Real Oviedo,Cartagena,2,0,H
12/09/2021,16:00,Valladolid,Tenerife,0,2,A
12/09/2021,18:15,Ponferradina,Almeria,1,0,H
12/09/2021,20:30,Fuenlabrada,Real Zaragoza,1,1,D
12/09/2021,21:30,Malaga,Girona,2,0,H
13/09/2021,21:00,Lugo,Huesca,3,2,H
17/09/2021,21:00,Alcorcon,Almeria,0,4,A
18/09/2021,16:00,Ibiza,Real Oviedo,1,1,D
18/09/2021,18:15,Leganes,Amorebieta,1,0,H
18/09/2021,,Real Zaragoza,Real Sociedad B,1,1,D
18/09/2021,20:30,Girona,Valladolid,1,0,H
18/09/2021,21:00,Cartagena,Lugo,2,1,H
19/09/2021,16:00,Ponferradina,Malaga,4,0,H
19/09/2021,18:15,Tenerife,Mirandes,1,2,A
19/09/2021,,Eibar,Sporting Gijon,3,2,H
19/09/2021,14:00,Huesca,Fuenlabrada,0,0,D
20/09/2021,21:00,Burgos,Las Palmas,0,0,D
24/09/2021,20:00,Real Sociedad B,Huesca,0,2,A
24/09/2021,21:00,Almeria,Tenerife,3,1,H
25/09/2021,18:15,Amorebieta,Eibar,1,1,D
25/09/2021,,Las Palmas,Ponferradina,2,1,H
25/09/2021,16:00,Ibiza,Burgos,2,0,H
26/09/2021,14:00,Mirandes,Leganes,1,2,A
26/09/2021,16:00,Sporting Gijon,Malaga,2,1,H
26/09/2021,18:15,Real Oviedo,Girona,0,0,D
26/09/2021,20:30,Lugo,Real Zaragoza,1,1,D
26/09/2021,21:00,Valladolid,Alcorcon,2,0,H
27/09/2021,21:00,Fuenlabrada,Cartagena,2,1,H
01/10/2021,21:00,Ponferradina,Valladolid,2,2,D
02/10/2021,16:00,Amorebieta,Sporting Gijon,1,1,D
02/10/2021,,Huesca,Tenerife,1,2,A
02/10/2021,18:15,Real Zaragoza,Real Oviedo,0,0,D
02/10/2021,21:00,Alcorcon,Real Sociedad B,1,4,A
03/10/2021,16:00,Malaga,Fuenlabrada,1,0,H
03/10/2021,18:15,Burgos,Mirandes,1,0,H
03/10/2021,,Las Palmas,Cartagena,4,1,H
03/10/2021,21:00,Leganes,Lugo,1,1,D
03/10/2021,14:00,Eibar,Ibiza,3,1,H
04/10/2021,21:00,Girona,Almeria,1,2,A
08/10/2021,21:00,Valladolid,Malaga,1,1,D
09/10/2021,16:00,Mirandes,Eibar,3,3,D
09/10/2021,18:15,Almeria,Las Palmas,1,1,D
09/10/2021,21:00,Real Oviedo,Sporting Gijon,1,1,D
