Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
22/08/2015,18:00,Hellas Verona,AS Roma,1,1,D
22/08/2015,20:45,Lazio,Bologna,2,1,H
23/08/2015,18:00,Juventus,Udinese,0,1,A
23/08/2015,20:45,Empoli,Chievo,1,3,A
23/08/2015,,Fiorentina,AC Milan,2,0,H
23/08/2015,,Frosinone,Torino,1,2,A
23/08/2015,,Inter,Atalanta,1,0,H
23/08/2015,,Palermo,Genoa,1,0,H
23/08/2015,,Sampdoria,Carpi,5,2,H
23/08/2015,,Sassuolo,Napoli,2,1,H
29/08/2015,18:00,Bologna,Sassuolo,0,1,A
29/08/2015,20:45,AC Milan,Empoli,2,1,H
30/08/2015,18:00,AS Roma,Juventus,2,1,H
30/08/2015,20:45,Atalanta,Frosinone,2,0,H
30/08/2015,,Carpi,Inter,1,2,A
30/08/2015,,Chievo,Lazio,4,0,H
30/08/2015,,Genoa,Hellas Verona,2,0,H
30/08/2015,,Napoli,Sampdoria,2,2,D
30/08/2015,,Torino,Fiorentina,3,1,H
30/08/2015,,Udinese,Palermo,0,1,A
12/09/2015,18:00,Fiorentina,Genoa,1,0,H
12/09/2015,,Frosinone,AS Roma,0,2,A
12/09/2015,20:45,Juventus,Chievo,1,1,D
13/09/2015,12:30,Hellas Verona,Torino,2,2,D
13/09/2015,15:00,Empoli,Napoli,2,2,D
13/09/2015,,Palermo,Carpi,2,2,D
13/09/2015,,Sassuolo,Atalanta,2,2,D
13/09/2015,18:00,Lazio,Udinese,2,0,H
13/09/2015,20:45,Inter,AC Milan,1,0,H
14/09/2015,20:45,Sampdoria,Bologna,2,0,H
19/09/2015,18:00,Udinese,Empoli,1,2,A
19/09/2015,20:45,AC Milan,Palermo,3,2,H
20/09/2015,12:30,Chievo,Inter,0,1,A
20/09/2015,15:00,Atalanta,Hellas Verona,1,1,D
20/09/2015,,Bologna,Frosinone,1,0,H
20/09/2015,,Genoa,Juventus,0,2,A
20/09/2015,,AS Roma,Sassuolo,2,2,D
20/09/2015,,Torino,Sampdoria,2,0,H
20/09/2015,18:00,Carpi,Fiorentina,0,1,A
20/09/2015,20:45,Napoli,Lazio,5,0,H
22/09/2015,20:45,Udinese,AC Milan,2,3,A
23/09/2015,20:45,Carpi,Napoli,0,0,D
23/09/2015,,Chievo,Torino,1,0,H
23/09/2015,,Inter,Hellas Verona,1,0,H
23/09/2015,,Juventus,Frosinone,1,1,D
23/09/2015,,Lazio,Genoa,2,0,H
23/09/2015,,Palermo,Sassuolo,0,1,A
