Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
20/08/2021,20:30,Frosinone,Parma,2,2,D
21/08/2021,20:30,Cittadella,Vicenza,1,0,H
21/08/2021,18:00,Pordenone,Perugia,0,1,A
22/08/2021,18:00,Reggina,Monza,0,0,D
22/08/2021,,Ternana,Brescia,0,2,A
22/08/2021,20:30,Pisa,SPAL,1,0,H
22/08/2021,,Benevento,Alessandria,4,3,H
22/08/2021,,Crotone,Como,2,2,D
22/08/2021,,Cremonese,Lecce,3,0,H
22/08/2021,,Ascoli,Cosenza,1,0,H
27/08/2021,18:00,Pisa,Alessandria,2,0,H
27/08/2021,20:30,Brescia,Cosenza,5,1,H
28/08/2021,20:30,Perugia,Ascoli,2,3,A
28/08/2021,18:00,Vicenza,Frosinone,0,2,A
29/08/2021,20:30,Parma,Benevento,1,0,H
29/08/2021,,Reggina,Ternana,3,2,H
29/08/2021,,SPAL,Pordenone,5,0,H
29/08/2021,,Monza,Cremonese,1,0,H
29/08/2021,,Lecce,Como,1,1,D
29/08/2021,18:00,Cittadella,Crotone,4,2,H
10/09/2021,20:30,Benevento,Lecce,0,0,D
11/09/2021,14:00,Como,Ascoli,0,1,A
11/09/2021,,Frosinone,Perugia,0,0,D
11/09/2021,,SPAL,Monza,1,1,D
11/09/2021,,Alessandria,Brescia,1,3,A
11/09/2021,16:15,Ternana,Pisa,1,4,A
11/09/2021,18:30,Crotone,Reggina,1,1,D
12/09/2021,16:15,Cremonese,Cittadella,2,0,H
12/09/2021,20:30,Pordenone,Parma,0,4,A
12/09/2021,14:00,Cosenza,Vicenza,2,1,H
17/09/2021,18:00,Como,Frosinone,0,2,A
17/09/2021,20:30,Brescia,Crotone,2,2,D
18/09/2021,14:00,Ascoli,Benevento,0,2,A
18/09/2021,,Reggina,SPAL,2,1,H
18/09/2021,,Monza,Ternana,1,1,D
18/09/2021,,Lecce,Alessandria,3,2,H
18/09/2021,,Perugia,Cosenza,1,1,D
18/09/2021,16:15,Vicenza,Pisa,1,3,A
18/09/2021,18:30,Cittadella,Pordenone,1,0,H
19/09/2021,20:30,Parma,Cremonese,1,2,A
20/09/2021,20:30,Frosinone,Brescia,2,2,D
21/09/2021,18:00,Benevento,Cittadella,4,1,H
21/09/2021,,Alessandria,Ascoli,1,3,A
21/09/2021,20:30,Pisa,Monza,2,1,H
21/09/2021,,Crotone,Lecce,0,3,A
21/09/2021,,Pordenone,Reggina,1,1,D
21/09/2021,,SPAL,Vicenza,3,2,H
21/09/2021,,Cosenza,Como,2,0,H
22/09/2021,20:30,Cremonese,Perugia,0,3,A
22/09/2021,18:00,Ternana,Parma,3,1,H
25/09/2021,14:00,Ascoli,Brescia,2,3,A
25/09/2021,,Como,Benevento,1,1,D
25/09/2021,,Monza,Pordenone,3,1,H
25/09/2021,16:15,Reggina,Frosinone,0,0,D
25/09/2021,18:30,Cosenza,Crotone,1,0,H
25/09/2021,14:00,Cittadella,Lecce,1,2,A
26/09/2021,14:00,Perugia,Alessandria,1,1,D
26/09/2021,16:15,Parma,Pisa,1,1,D
26/09/2021,20:30,Vicenza,Cremonese,0,1,A
26/09/2021,,Ternana,SPAL,1,0,H
01/10/2021,20:30,Lecce,Monza,3,0,H
02/10/2021,14:00,Crotone,Ascoli,2,2,D
02/10/2021,,Frosinone,Cittadella,0,1,A
02/10/2021,,Cremonese,Ternana,2,0,H
02/10/2021,,Alessandria,Cosenza,1,0,H
02/10/2021,16:15,Pisa,Reggina,2,0,H
02/10/2021,18:30,SPAL,Parma,2,2,D
03/10/2021,16:15,Pordenone,Vicenza,2,4,A
